EC,EnzymeName
1.5.5.2,proline dehydrogenase
1.5.8.2,dimethylamine/trimethylamine dehydrogenase
1.5.98.1,methylenetetrahydromethanopterin dehydrogenase
1.5.98.2,"5,10-methylenetetrahydromethanopterin reductase"
1.5.99.8,proline dehydrogenase.
1.6.1.1,NAD(P) transhydrogenase
1.6.1.2,proton-translocating NAD(P)+ transhydrogenase
1.6.5.10,NADPH dehydrogenase (quinone)
1.6.5.11,NADH dehydrogenase (quinone)
1.6.5.2,NAD(P)H dehydrogenase (quinone)
1.6.5.3,NADH:ubiquinone reductase (H+-translocating)
1.6.5.5,NADPH:quinone reductase
1.6.5.8,NADH:ubiquinone reductase (Na+-transporting)
1.6.5.9,NADH:quinone reductase (non-electrogenic)
1.6.6.9,trimethylamine-N-oxide reductase
1.6.99.1,NADPH2 dehydrogenase
1.6.99.3,NADH dehydrogenase
