feature	Actinobacteria	Bacteria_unclassified	Bacteroidetes	Candidatus_Melainabacteria	Euryarchaeota	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
PH2308	-3.20574492895867	-9.47121564514134	-3.47224479889556	-11.5137166315162	-5.72551633297584	-0.428632286877892	-6.84011723066994	-11.7070850461701	-5.12454635615763	-12.2898786238455
PH2339	-4.18778120340993	-10.9136470941354	-3.05023155004321	NA	-5.72851929709394	-0.335311169839658	-6.60069412856119	-12.6415501552	-13.520481775334	-9.06413580655419
PH2359	-3.77026052021496	NA	-1.7943172345342	-10.344917410085	-6.6829600315734	-0.749513300067257	-6.17859315991125	-7.71959005472591	-6.12916428811184	-11.9064300169318
PK1313	-3.43804285993499	NA	-1.91538474993312	NA	NA	-0.657349540561093	-7.2002918268607	NA	NA	-9.12582455290304
PK1324	-2.07835502170399	-5.63284639073477	-6.4704208308418	-10.0288911170558	NA	-0.607495080157651	-6.45971470334569	-10.6967502725896	-4.00367865542086	-12.3777464471742
PK2313	-3.99245527871627	NA	-2.22414525430982	NA	NA	-0.500701231663086	-6.02695261799851	NA	NA	-9.89842077327297
PK2324	-3.07607118724954	-7.301893351414	-2.20817107332385	-11.5762176171689	NA	-0.710109742552723	-6.89807688282785	-8.51799367025439	-4.82421267248491	-10.5617532893098
PT1325	-4.45764566015986	-13.5154059915547	-1.58295480345105	-10.6680661995822	-5.51613206184761	-0.875651480809802	-5.25298652157322	-8.00824267086865	-5.44384315139938	-14.2676563141719
PT2325	-3.98110749135038	-14.8871735843484	-1.54744123026918	-13.6480162805326	-5.91680619381876	-0.876310956694169	-6.20410454365364	-8.9631168989904	-5.8307082886764	NA
RA1309	-3.94807763046222	NA	-2.59041825874975	NA	NA	-0.385478822773599	-9.22007294132638	NA	-9.27469612236249	-11.4562397253541
RA2309	-4.7582695350165	NA	-2.21908935471222	NA	NA	-0.431829915898091	-9.80757595995822	NA	-16.8784566557865	-7.42285709573613
RK1372	-5.04349920372005	-6.89031852343416	-3.56582551509153	NA	-8.42506103812863	-0.20188948637646	-8.47906832466597	-13.4381117814326	-9.57434489999867	-11.8147032246679
RK2372	-4.63561658295954	-7.24250955895775	-3.57563926514517	-11.0974134436533	-6.3724184167274	-0.245879087866927	-7.26102281630139	-9.43511406490087	-7.77213853978175	-10.0757655529088
RS1345	-4.51268402519271	NA	-4.61556908107833	NA	NA	-0.217375355538928	-4.17731172754913	NA	NA	NA
RS1366	-4.36220938913931	-17.5255772195345	-2.1745194995883	NA	NA	-0.459930877148668	-9.61280083652762	NA	-9.46467740217097	-12.7797919244783
RS2345	-2.77035765022073	NA	-6.14067001914404	NA	NA	-0.279027518326311	-6.05680780990245	NA	NA	-13.4317223937019
RS2366	-4.84676805153808	NA	-3.42916051582458	NA	NA	-0.203016149337796	-10.682928942531	NA	-8.41193188367238	-12.8579620959407
SH1365	-2.91497759744309	NA	-2.29279795078737	NA	NA	-0.599235995913321	-8.27460719931093	NA	NA	NA
SH2365	-2.99060752995955	NA	-2.90240264882006	NA	NA	-0.440447896348722	-8.14652427746632	NA	NA	NA
SK1377	-3.36462206187875	-6.88005313995485	-2.68861349485605	-12.7085316543442	NA	-0.471546324876607	-5.9622444327844	-13.8893614321254	NA	-9.06436648667226
SK2377	-3.06824678539386	-8.62459493510521	-2.43318543767705	-10.0492306309966	NA	-0.57293996888017	-5.8940553558909	-8.86339432209551	NA	-10.0647527193844
SN1320	-5.00455006958195	NA	-2.79618106410922	-11.6989079568034	NA	-0.292584023408665	-7.24620668378532	-11.8298556134052	-10.5053039588916	-10.7226028272871
SN2320	-4.3949852654453	NA	-2.67385104933731	NA	NA	-0.335442479161698	-8.57055779417221	NA	-11.4127196062332	-12.1306695350206
SO1346	-2.43294423021777	NA	-4.05308782074321	NA	NA	-0.415499571894382	-7.95977486994232	NA	-10.2978480551081	NA
SO2346	-3.69265103079074	NA	-3.1989530243321	NA	NA	-0.307838709688811	-7.44365160083198	NA	-12.6601039544544	-16.2534950772461
