feature	Actinobacteria	Bacteria_unclassified	Bacteroidetes	Candidatus_Melainabacteria	Euryarchaeota	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
SK1377	0.0970840388336155	0.00848980339592135	0.155112462044985	0.000149400059760024	NA	0.721191188476475	0.0160393064157226	6.59000263600105e-05	NA	0.0018679007471603
SN1320	0.0311515968848403	NA	0.143967885603211	0.000300799969920003	NA	0.816438418356158	0.00658679934132006	0.000274699972530003	0.000687999931200007	0.000591799940820006
SS1323	0.1042179	NA	0.1520015	NA	NA	0.7272341	0.0033331	NA	0.0132134	NA
SV1318	0.0714531785640464	0.00512239846328046	0.260728421781473	NA	NA	0.600239719928084	0.0533219840034048	0.000229199931240021	0.00838189748543075	0.000523199843040047
TS1358	0.036005521603313	0.00286680172008103	0.427370356422214	0.00033450020070012	0.00531090318654191	0.495654497392698	0.0263312157987295	0.00272890163734098	0.000792100475260285	0.00260520156312094
VK1336	0.0519769363838554	0.0267444187210931	0.171105319773724	0.000174800122360086	0.0137565096295567	0.71488090041663	0.0155088108561676	2.29000160300112e-05	0.00383210268247188	0.00199730139811098
AH2343	0.0576993288496645	NA	0.0640477320238661	0.00745120372560187	NA	0.824341012170506	0.011845105922553	NA	0.0346065173032587	9.10000455000228e-06
AK2351	0.0396869801565099	NA	0.271853964073018	NA	NA	0.68172025913987	0.00661059669470165	NA	NA	0.000128199935900032
AM2314	0.0468348953165104	NA	0.120586587941341	0.00179489982051002	NA	0.823827217617278	0.00548429945157005	NA	NA	0.00147209985279001
AN2355	0.031561412624565	NA	0.295727318290927	NA	NA	0.609788743915498	0.0111240044496018	NA	0.0508924203569681	0.000906100362440145
AS2315	0.0960537	NA	0.2587875	NA	NA	0.6325797	0.0123707	NA	NA	0.0002084
EK2349	0.044136382345447	NA	0.0604342758262896	NA	NA	0.880209247916301	0.00293529882588047	NA	NA	0.012284795086082
ET2331	0.0981244509377745	NA	0.24111177944411	7.6199961900019e-05	NA	0.632284283857858	0.0106386946806527	NA	NA	0.0177645911177044
HL2333	0.106836403847236	0.00546329508303442	0.143961670434496	NA	NA	0.736358537277317	0.0056791948887246	0.000140799873280114	0.00156009859591126	NA
HN2327	0.298665450667275	NA	0.143455228272386	NA	NA	0.552416623791688	0.00526809736595132	NA	NA	0.000194599902700049
